date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:02:08	24667/24667	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2022:59:35%20GMT	https://askbootstrap.com/preview/swiggi/template2/restaurant.html	C:/My%20Web%20Sites/swiggy-clonew/askbootstrap.com/preview/swiggi/template2/restaurant.html	(from )
21:02:08	129/129	---MCZ	200	added ('OK')	text/plain	etag:W/%22b9-5ba20d59-c7e563c35dc5d877;;;%22	https://askbootstrap.com/robots.txt		(from )
21:02:09	14432/14432	---M--	200	added ('OK')	image/png	etag:%223860-60d26b56-fa462df3e9688251;;;%22	https://askbootstrap.com/preview/swiggi/template2/img/logo.png	C:/My%20Web%20Sites/swiggy-clonew/askbootstrap.com/preview/swiggi/template2/img/logo.png	(from https://askbootstrap.com/preview/swiggi/template2/restaurant.html)
21:02:10	1327/1327	---M-Z	200	added ('OK')	text/css	etag:%2252f-60d26b57-bceb665d2707e203;gz%22	https://askbootstrap.com/preview/swiggi/template2/vendor/slick/slick.min.css	C:/My%20Web%20Sites/swiggy-clonew/askbootstrap.com/preview/swiggi/template2/vendor/slick/slick.min.css	(from https://askbootstrap.com/preview/swiggi/template2/restaurant.html)
21:02:15	2342/2342	---M-Z	200	added ('OK')	text/css	etag:%22926-60d26b57-7e6047bf4b9c410e;gz%22	https://askbootstrap.com/preview/swiggi/template2/vendor/slick/slick-theme.min.css	C:/My%20Web%20Sites/swiggy-clonew/askbootstrap.com/preview/swiggi/template2/vendor/slick/slick-theme.min.css	(from https://askbootstrap.com/preview/swiggi/template2/restaurant.html)
21:02:16	13382/13382	---M-Z	200	added ('OK')	text/css	etag:%223446-60d26b57-372fdb134374c167;gz%22	https://askbootstrap.com/preview/swiggi/template2/vendor/icons/feather.css	C:/My%20Web%20Sites/swiggy-clonew/askbootstrap.com/preview/swiggi/template2/vendor/icons/feather.css	(from https://askbootstrap.com/preview/swiggi/template2/restaurant.html)
21:02:17	160403/160403	---M-Z	200	added ('OK')	text/css	etag:%2227293-60d26b57-4ae347d34b26055f;gz%22	https://askbootstrap.com/preview/swiggi/template2/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/swiggy-clonew/askbootstrap.com/preview/swiggi/template2/vendor/bootstrap/css/bootstrap.min.css	(from https://askbootstrap.com/preview/swiggi/template2/restaurant.html)
21:02:17	21680/21680	---M-Z	200	added ('OK')	text/css	etag:%2254b0-60d26b56-7960ca1d2efdaa35;gz%22	https://askbootstrap.com/preview/swiggi/template2/css/style.css	C:/My%20Web%20Sites/swiggy-clonew/askbootstrap.com/preview/swiggi/template2/css/style.css	(from https://askbootstrap.com/preview/swiggi/template2/restaurant.html)
21:02:18	22250/22250	---M-Z	200	added ('OK')	text/css	etag:%2256ea-60d26b57-591db3ee87afddec;gz%22	https://askbootstrap.com/preview/swiggi/template2/vendor/sidebar/demo.css	C:/My%20Web%20Sites/swiggy-clonew/askbootstrap.com/preview/swiggi/template2/vendor/sidebar/demo.css	(from https://askbootstrap.com/preview/swiggi/template2/restaurant.html)
21:02:18	33284/33284	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2022:59:34%20GMT	https://askbootstrap.com/preview/swiggi/template2/home.html	C:/My%20Web%20Sites/swiggy-clonew/askbootstrap.com/preview/swiggi/template2/home.html	(from https://askbootstrap.com/preview/swiggi/template2/restaurant.html)
